organism	chromosome	accession	gene_name	strand	gstart	gend
Homo sapiens	X	NT_011757	LOC340569	-	25693828	25693392
Homo sapiens	X	NT_011757	WDR42B	-	25781249	25777793
Homo sapiens	X	NT_011757	IL1RAPL1	+	26387242	27756523
Homo sapiens	X	NT_011757	LOC646438	-	26459269	26458862
Homo sapiens	X	NT_011757	MAGEB2	+	28015363	28019889
Homo sapiens	X	NT_011757	MAGEB3	+	28030236	28037290
Homo sapiens	X	NT_011757	MAGEB4	+	28041852	28043993
Homo sapiens	X	NT_011757	MAGEB1	+	28043531	28051838
Homo sapiens	X	NT_011757	NR0B1	-	28109175	28104268
Homo sapiens	X	NT_011757	CXorf21	-	28377597	28358624
Homo sapiens	X	NT_011757	LOC652904	+	28417254	28417493
Homo sapiens	X	NT_011757	LOC392437	+	28429883	28430625
Homo sapiens	X	NT_011757	GK	+	28453223	28530408
Homo sapiens	X	NT_011757	MAP3K7IP3	-	28774884	28630131
Homo sapiens	X	NT_011757	FTHL17	-	28871853	28871041
Homo sapiens	X	NT_011757	DMD	-	31139409	28919028
Homo sapiens	X	NT_011757	TBCAP1	+	30841145	30841701
Homo sapiens	X	NT_011757	LOC646506	+	31210705	31211973
Homo sapiens	X	NT_011757	FAM47A	-	31932114	31929556
Homo sapiens	X	NT_011757	LOC139431	+	31946735	31947386
Homo sapiens	X	NT_011757	LOC392439	+	32187522	32188212
Homo sapiens	X	NT_011757	TMEM47	-	32457088	32426864
Homo sapiens	X	NT_011757	FAM47B	+	32742614	32744717
Homo sapiens	X	NT_011757	LOC392440	+	32858829	32859779
Homo sapiens	X	NT_011757	LOC340571	+	33425614	33426775
Homo sapiens	X	NT_011757	LOC646569	+	33511078	33511461
Homo sapiens	X	NT_011757	LOC139604	+	33601997	33602971
Homo sapiens	X	NT_011757	CXorf22	+	33719541	33789952
Homo sapiens	X	NT_011757	CXorf59	+	33846736	33944870
Homo sapiens	X	NT_011757	LOC646577	+	34010914	34011538
Homo sapiens	X	NT_011757	LOC158730	+	34028400	34055045
Homo sapiens	X	NT_011757	LOC645090	+	34065977	34184804
Homo sapiens	X	NT_011757	LOC646584	+	34519674	34520273
Homo sapiens	X	NT_011757	LOC646585	-	34758140	34757334
Homo sapiens	X	NT_011757	LOC441488	-	34763209	34761781
Homo sapiens	X	NT_011757	LOC441489	-	34785849	34785135
Homo sapiens	X	NT_011757	FAM47C	+	34808153	34811422
Homo sapiens	X	NT_011757	LOC441490	-	34844204	34842779
Homo sapiens	X	NT_011757	LOC442445	-	34878439	34877607
Homo sapiens	X	NT_011786	LOC653155	-	150528	150208
Homo sapiens	X	NT_011786	KLHL13	-	1374563	1299486
Homo sapiens	X	NT_011786	LOC392528	+	1527855	1530691
Homo sapiens	X	NT_011786	WDR44	+	1747752	1851634
Homo sapiens	X	NT_011786	DOCK11	+	1897581	2087820
Homo sapiens	X	NT_011786	IL13RA1	+	2129269	2196206
Homo sapiens	X	NT_011786	ZCCHC12	+	2225497	2228641
Homo sapiens	X	NT_011786	LOC159007	-	2281000	2279553
Homo sapiens	X	NT_011786	LOC392529	+	2339946	2340458
Homo sapiens	X	NT_011786	LONRF3	+	2376423	2419660
Homo sapiens	X	NT_011786	LOC727838	+	2474899	2476754
Homo sapiens	X	NT_011786	KIAA1210	-	2525315	2480309
Homo sapiens	X	NT_011786	LOC641382	-	2588672	2585309
Homo sapiens	X	NT_011786	LOC643033	+	2622455	2623435
Homo sapiens	X	NT_011786	PGRMC1	+	2637973	2646139
Homo sapiens	X	NT_011786	LOC139516	-	2659340	2650980
Homo sapiens	X	NT_011786	MRPS17P9	+	2781385	2781777
Homo sapiens	X	NT_011786	LOC203427	+	2800733	2856144
Homo sapiens	X	NT_011786	SLC25A5	+	2870119	2872989
Homo sapiens	X	NT_011786	CXorf56	-	2967074	2941211
Homo sapiens	X	NT_011786	UBE2A	+	2976209	2986091
Homo sapiens	X	NT_011786	NKRF	-	3007523	2990016
Homo sapiens	X	NT_011786	SEPT6	-	3095043	3017397
Homo sapiens	X	NT_011786	ANKRD58	+	3159924	3161837
Homo sapiens	X	NT_011786	RPL39	-	3193316	3188179
Homo sapiens	X	NT_011786	SNORA69	-	3189157	3189026
Homo sapiens	X	NT_011786	UPF3B	-	3254678	3235699
Homo sapiens	X	NT_011786	RNF113A	-	3273500	3272148
Homo sapiens	X	NT_011786	NDUFA1	+	3273444	3278328
Homo sapiens	X	NT_011786	AKAP14	+	3297646	3322389
Homo sapiens	X	NT_011786	NKAP	-	3345445	3326733
Homo sapiens	X	NT_011786	LOC643134	-	3401311	3399760
Homo sapiens	X	NT_011786	LOC727940	-	3479417	3473939
Homo sapiens	X	NT_011786	OTEX	-	3517557	3510735
Homo sapiens	X	NT_011786	PEPP-2	+	3560177	3565643
Homo sapiens	X	NT_011786	LOC402420	-	3621592	3612014
Homo sapiens	X	NT_011786	CXorf42	-	3646690	3646325
Homo sapiens	X	NT_011786	ZBTB33	+	3652317	3659961
Homo sapiens	X	NT_011786	FAM70A	-	3712998	3660215
Homo sapiens	X	NT_011786	ATP1B4	+	3763677	3783936
Homo sapiens	X	NT_011786	LAMP2	-	3870871	3832391
Homo sapiens	X	NT_011786	CUL4B	-	3977359	3928206
Homo sapiens	X	NT_011786	MCTS1	+	4005545	4013952
Homo sapiens	X	NT_011786	C1GALT1C1	-	4031651	4027241
Homo sapiens	X	NT_011786	LOC389884	-	4271369	4270169
Homo sapiens	X	NT_011786	LOC643311	-	4277234	4275460
Homo sapiens	X	NT_011786	LOC255313	-	4282379	4279067
Homo sapiens	X	NT_011786	LOC728036	-	4287240	4283928
Homo sapiens	X	NT_011786	LOC728042	-	4292100	4288788
Homo sapiens	X	NT_011786	LOC728049	-	4296961	4293649
Homo sapiens	X	NT_011786	LOC653282	-	4301821	4298509
Homo sapiens	X	NT_011786	LOC728062	-	4306704	4303392
Homo sapiens	X	NT_011786	LOC728072	-	4311565	4308253
Homo sapiens	X	NT_011786	LOC728075	-	4316425	4313113
Homo sapiens	X	NT_011786	LOC728082	-	4321285	4317973
Homo sapiens	X	NT_011786	LOC728090	-	4326145	4322833
Homo sapiens	X	NT_011786	LOC728096	-	4331005	4327693
Homo sapiens	X	NT_011786	GLUD2	+	4392825	4395159
Homo sapiens	X	NT_011786	LOC158714	-	4550617	4547763
Homo sapiens	X	NT_011786	LOC643421	-	5209412	5208905
Homo sapiens	X	NT_011786	LOC286423	-	6463042	6461323
Homo sapiens	X	NT_011786	GRIA3	+	6529521	6834156
Homo sapiens	X	NT_011786	LOC402422	+	6906856	6908189
Homo sapiens	X	NT_011786	FERP	+	6948353	6949145
Homo sapiens	X	NT_011786	THOC2	-	7042900	6956135
Homo sapiens	X	NT_011786	LOC643547	-	7206502	7204948
Homo sapiens	X	NT_011786	BIRC4	+	7205411	7259185
Homo sapiens	X	NT_011786	STAG2	+	7306952	7447709
Homo sapiens	X	NT_011786	SH2D1A	+	7691557	7718368
Homo sapiens	X	NT_011786	ODZ1	-	8309029	7725694
Homo sapiens	X	NT_011786	LOC392536	-	8673233	8672109
Homo sapiens	X	NT_011786	WDR40C	-	9511297	9509877
Homo sapiens	X	NT_011786	OR4W1P	-	9848564	9848217
Homo sapiens	X	NT_011786	WDR40B	-	9898197	9894732
Homo sapiens	X	NT_011786	LOC728472	+	9898040	9898267
Homo sapiens	X	NT_011786	PNPLA10P	+	10737458	10737817
Homo sapiens	X	NT_011786	ACTRT1	-	11397740	11396304
Homo sapiens	X	NT_011786	LOC392538	+	11786270	11787183
Homo sapiens	X	NT_011786	LOC139748	+	12039708	12061131
Homo sapiens	X	NT_011786	LOC392539	-	12388751	12386876
Homo sapiens	X	NT_011786	SMARCA1	-	12868804	12791841
Homo sapiens	X	NT_011786	OCRL	+	12885615	12937896
Homo sapiens	X	NT_011786	APLN	-	13000277	12990688
Homo sapiens	X	NT_011786	XPNPEP2	+	13084309	13114888
Homo sapiens	X	NT_011786	CXorf9	+	13125323	13140540
Homo sapiens	X	NT_011786	ZDHHC9	-	13189236	13150275
Homo sapiens	X	NT_011786	UTP14A	+	13251522	13275091
Homo sapiens	X	NT_011786	LOC728571	+	13324075	13329886
Homo sapiens	X	NT_011786	BCORL1	+	13328032	13402964
Homo sapiens	X	NT_011786	LOC728584	-	13405996	13405351
Homo sapiens	X	NT_011786	ELF4	-	13455835	13410267
Homo sapiens	X	NT_011786	LOC643986	+	13455371	13455844
Homo sapiens	X	NT_011786	PDCD8	-	13511171	13474700
Homo sapiens	X	NT_011786	RAB33A	+	13517136	13530207
Homo sapiens	X	NT_011786	SUHW3	-	13614236	13548048
Homo sapiens	X	NT_011786	SLC25A14	+	13685410	13718698
Homo sapiens	X	NT_011786	GPR119	-	13730784	13729777
Homo sapiens	X	NT_011786	RBMX2	+	13747370	13758991
Homo sapiens	X	NT_011786	FAM45B	+	13840278	13842095
Homo sapiens	X	NT_011786	LOC644066	+	13875550	13876486
Homo sapiens	X	NT_011786	COVA1	-	14248571	13968718
Homo sapiens	X	NT_011786	FLJ30058	+	14403579	14435216
Homo sapiens	X	NT_011786	OR11Q1P	+	14549432	14550380
Homo sapiens	X	NT_011786	IGSF1	-	14634618	14618843
Homo sapiens	X	NT_011786	OR11N1P	-	14670650	14669671
Homo sapiens	X	NT_011786	OR5AW1P	-	14687789	14686866
Homo sapiens	X	NT_011786	OR5BH1P	-	14744294	14743386
Homo sapiens	X	NT_011786	OR1AA1P	+	14769638	14770578
Homo sapiens	X	NT_011786	LOC392542	-	14838230	14837616
Homo sapiens	X	NT_011786	OR13H1	+	14889411	14890337
Homo sapiens	X	NT_011786	OR13K1P	+	14908066	14909149
Homo sapiens	X	NT_011786	OR7L1P	+	14941458	14942540
Homo sapiens	X	NT_011786	OR2AF1P	+	14964411	14965300
Homo sapiens	X	NT_011786	HDGFP	+	14992012	14993609
Homo sapiens	X	NT_011786	LOC286467	-	15175980	15140699
Homo sapiens	X	NT_011786	MST4	+	15368690	15421334
Homo sapiens	X	NT_011786	LOC90167	-	15473413	15422386
Homo sapiens	X	NT_011786	LOC392543	-	15476743	15475477
Homo sapiens	X	NT_011786	RAP2C	-	15563552	15548416
Homo sapiens	X	NT_011786	MBNL3	-	15785081	15723540
Homo sapiens	X	NT_011786	HS6ST2	-	16306775	15971407
Homo sapiens	X	NT_011786	USP26	-	16373648	16370855
Homo sapiens	X	NT_011786	TFDP3	-	16563724	16562045
Homo sapiens	X	NT_011786	GPC4	-	16760553	16646412
Homo sapiens	X	NT_011786	GPC3	-	17331014	16881121
Homo sapiens	X	NT_011786	LOC644403	+	17515109	17518355
Homo sapiens	X	NT_011786	LOC347475	+	17589607	17591156
Homo sapiens	X	NT_011786	LOC402425	+	17617665	17619022
Homo sapiens	X	NT_011786	PHF6	+	17718690	17774170
Homo sapiens	X	NT_011786	HPRT1	+	17805605	17846044
Homo sapiens	X	NT_011786	MGC16121	-	17899846	17889804
Homo sapiens	X	NT_011786	PLAC1	-	18003861	17911221
Homo sapiens	X	NT_011786	FAM122B	-	18145847	18114944
Homo sapiens	X	NT_011786	LOC728785	+	18142283	18142753
Homo sapiens	X	NT_011786	FAM122C	+	18152572	18199964
Homo sapiens	X	NT_011786	MOSPD1	-	18260645	18233010
Homo sapiens	X	NT_011786	LOC392545	-	18307686	18307058
Homo sapiens	X	NT_011786	LOC644538	+	18334654	18337851
Homo sapiens	X	NT_011786	LOC441518	-	18367907	18365891
Homo sapiens	X	NT_011786	CXX1	+	18377745	18378924
Homo sapiens	X	NT_011786	DKFZP564B147	-	18396885	18396541
Homo sapiens	X	NT_011786	LOC644596	-	18444011	18443775
Homo sapiens	X	NT_011786	CXorf48	-	18517099	18501809
Homo sapiens	X	NT_011786	LOC728470	-	18539958	18525527
Homo sapiens	X	NT_011786	LOC650024	+	18546996	18560864
Homo sapiens	X	NT_011786	ZNF75	-	18689305	18631067
Homo sapiens	X	NT_011786	ZNF449	+	18690069	18708686
Homo sapiens	X	NT_011786	MGC39606	+	18767208	18771030
Homo sapiens	X	NT_011786	LOC392547	+	18778017	18783985
Homo sapiens	X	NT_011786	DDX26B	+	18865932	18927782
Homo sapiens	X	NT_011786	LOC442465	+	18944077	18978916
Homo sapiens	X	NT_011786	LOC644717	-	18989018	18983315
Homo sapiens	X	NT_011786	LOC139587	-	19033558	19012211
Homo sapiens	X	NT_011786	CT45-1	+	19058533	19068336
Homo sapiens	X	NT_011786	LOC728911	+	19077568	19087187
Homo sapiens	X	NT_011786	CT45-3	+	19094836	19102867
Homo sapiens	X	NT_011786	CT45-2	-	19148083	19140043
Homo sapiens	X	NT_011786	CT45-4	-	19148083	19140045
Homo sapiens	X	NT_011786	CT45-5	-	19165342	19157312
Homo sapiens	X	NT_011786	CT45-6	-	19182592	19174563
Homo sapiens	X	NT_011786	SAGE1	+	19187133	19206568
Homo sapiens	X	NT_011786	TMEM32	-	19267482	19255579
Homo sapiens	X	NT_011786	SLC9A6	+	19278975	19340640
Homo sapiens	X	NT_011786	LOC139542	-	19391855	19391007
Homo sapiens	X	NT_011786	FHL1	+	19441028	19504858
Homo sapiens	X	NT_011786	FLJ12649	-	19559908	19510325
Homo sapiens	X	NT_011786	LOC644817	-	19593969	19589197
Homo sapiens	X	NT_011786	GPR112	+	19594470	19710395
Homo sapiens	X	NT_011786	BRS3	+	19781473	19785946
Homo sapiens	X	NT_011786	HTATSF1	+	19791019	19805838
Homo sapiens	X	NT_011786	VGLL1	+	19825659	19850311
Homo sapiens	X	NT_011786	CD40LG	+	19941684	19953897
Homo sapiens	X	NT_011786	ARHGEF6	-	20074851	19959057
Homo sapiens	X	NT_011786	LOC728962	+	20084760	20085038
Homo sapiens	X	NT_011786	RBMX	-	20174287	20166967
Homo sapiens	X	NT_011786	SNORD61	-	20172778	20172706
Homo sapiens	X	NT_011786	FLJ31132	+	20202902	20287162
Homo sapiens	X	NT_011786	GPR101	-	20325181	20323655
Homo sapiens	X	NT_011786	RAC1P4	-	20735538	20734554
Homo sapiens	X	NT_011786	ZIC3	+	20859694	20865607
Homo sapiens	X	NT_011786	LOC389892	+	20954053	20963164
Homo sapiens	X	NT_011786	LOC139363	+	21771795	21777303
Homo sapiens	X	NT_011786	LOC392552	-	21782530	21781100
Homo sapiens	X	NT_011786	FGF13	-	22032863	21925083
Homo sapiens	X	NT_011786	LOC729045	-	22497783	22141275
Homo sapiens	X	NT_011786	SRD5AP1	+	22740323	22742480
Homo sapiens	X	NT_011786	F9	+	22824243	22856965
Homo sapiens	X	NT_011786	MCF2	-	22936201	22875278
Homo sapiens	X	NT_011786	BCYRN1P1	+	23014086	23014289
Homo sapiens	X	NT_011786	ATP11C	-	23125795	23019853
Homo sapiens	X	NT_011786	LOC729068	+	23225890	23226773
Homo sapiens	X	NT_011786	LOC347487	-	23259027	23249232
Homo sapiens	X	NT_011786	LOC728660	+	23310769	23311546
Homo sapiens	X	NT_011786	LOC643689	+	23325811	23327377
Homo sapiens	X	NT_011786	LOC389895	+	23385250	23386071
Homo sapiens	X	NT_011786	LOC729078	-	23510310	23509533
Homo sapiens	X	NT_011786	LOC266694	+	23690575	23691406
Homo sapiens	X	NT_011786	SOX3	-	23798573	23796500
Homo sapiens	X	NT_011786	LOC286411	+	23987807	24008335
Homo sapiens	X	NT_011786	CDR1	-	24078071	24076773
Homo sapiens	X	NT_011786	SPANXB1	+	24296104	24297219
Homo sapiens	X	NT_011786	LOC728695	+	24308109	24309224
Homo sapiens	X	NT_011786	dJ507I15.1	+	24444000	24444772
Homo sapiens	X	NT_011786	LDOC1	-	24482658	24481278
Homo sapiens	X	NT_011786	SPANXC	-	24547994	24546944
Homo sapiens	X	NT_011786	NDUFB3P5	+	24686289	24686689
Homo sapiens	X	NT_011786	SPANXA2	-	24884208	24883142
Homo sapiens	X	NT_011786	SPANXA1	-	24884184	24883154
Homo sapiens	X	NT_011786	LOC728712	+	24888973	24890249
Homo sapiens	X	NT_011786	LOC645188	+	24925344	24926211
Homo sapiens	X	NT_011786	SPANXE	-	24998003	24996916
Homo sapiens	X	NT_011786	SPANXD	-	24997946	24996916
Homo sapiens	X	NT_011786	MAGEC3	+	25137450	25196966
Homo sapiens	X	NT_011786	MAGEC1	+	25203028	25208531
Homo sapiens	X	NT_011786	LOC392555	-	25473123	25472000
Homo sapiens	X	NT_011786	LOC645226	-	25495265	25493486
Homo sapiens	X	NT_011786	MAGEC2	-	25504424	25501478
Homo sapiens	X	NT_011786	SPANX-N4	+	26325149	26333380
Homo sapiens	X	NT_011786	SPANX-N3	-	26816655	26807912
Homo sapiens	X	NT_011786	MYCL3	-	26895171	26894042
Homo sapiens	X	NT_011786	SLITRK4	-	26934367	26927266
Homo sapiens	X	NT_011786	SPANX-N2	-	27015864	27006403
Homo sapiens	X	NT_011786	UBE2NL	+	27178521	27179710
Homo sapiens	X	NT_011786	RRM2P4	+	27603625	27604190
Homo sapiens	X	NT_011681	CYCSP44	+	700784	701103
Homo sapiens	X	NT_011681	SPANX-N1	+	771030	780314
Homo sapiens	X	NT_011681	LOC347422	+	1136188	1156623
Homo sapiens	X	NT_011681	SLITRK2	+	1342032	1350042
Homo sapiens	X	NT_011681	CXorf1	+	1351610	1354056
Homo sapiens	X	NT_011681	LOC653103	-	2157138	2143213
Homo sapiens	X	NT_011681	LOC727854	-	2488688	2488500
Homo sapiens	X	NT_011681	FMR1	+	3436191	3475293
Homo sapiens	X	NT_011681	FMR1NB	+	3505531	3550867
Homo sapiens	X	NT_011681	FTHL8	+	3576214	3577122
Homo sapiens	X	NT_011681	LOC347509	+	3988892	3989630
Homo sapiens	X	NT_011681	AFF2	+	4024821	4524889
Homo sapiens	X	NT_011681	IDS	-	5029831	5006653
Homo sapiens	X	NT_011681	LOC727913	+	5047183	5050457
Homo sapiens	X	NT_011681	IDSP1	+	5050827	5052451
Homo sapiens	X	NT_011681	FLJ44451	-	5058841	5058330
Homo sapiens	X	NT_011681	CXorf40A	+	5065453	5071750
Homo sapiens	X	NT_011681	FLJ16423	+	5076347	5076751
Homo sapiens	X	NT_011681	LOC728269	-	5111894	5106095
Homo sapiens	X	NT_011681	HSFX1	-	5298571	5116964
Homo sapiens	X	NT_011681	FAM11A	-	5156365	5121005
Homo sapiens	X	NT_011681	LOC392556	-	5176728	5173638
Homo sapiens	X	NT_011681	MAGEA11	-	5239497	5210467
Homo sapiens	X	NT_011681	LOC728302	+	5299122	5301323
Homo sapiens	X	NT_011681	MAGEA9	+	5306392	5312196
Homo sapiens	X	NT_011681	MAGEA7	+	5332988	5333265
Homo sapiens	X	NT_011681	MAGEA8	+	5405644	5410256
Homo sapiens	X	NT_079573	PRRG1	+	97596	168286
Homo sapiens	X	NT_079573	LOC389844	+	202352	203708
Homo sapiens	X	NT_079573	LOC642296	+	215691	217022
Homo sapiens	X	NT_079573	LOC139249	-	255161	252104
Homo sapiens	X	NT_079573	LANCL3	+	282564	388491
Homo sapiens	X	NT_079573	LOC644106	+	330713	338191
Homo sapiens	X	NT_079573	XK	+	396875	443145
Homo sapiens	X	NT_079573	CYBB	+	491087	524481
Homo sapiens	X	NT_079573	DYNLT3	-	558598	549856
Homo sapiens	X	NT_079573	SC4MOP	+	656904	657785
Homo sapiens	X	NT_079573	CXorf27	+	701836	702262
Homo sapiens	X	NT_079573	SYTL5	+	744910	837750
Homo sapiens	X	NT_079573	SRPX	-	931898	860359
Homo sapiens	X	NT_079573	RPGR	-	1038555	980190
Homo sapiens	X	NT_079573	OTC	+	1063125	1132376
Homo sapiens	X	NT_079573	LOC392442	+	1169511	1190933
Homo sapiens	X	NT_079573	LOC392443	-	1201644	1195742
Homo sapiens	X	NT_079573	LOC442446	-	1265710	1242943
Homo sapiens	X	NT_079573	TSPAN7	+	1272506	1399939
Homo sapiens	X	NT_079573	MID1IP1	+	1514840	1517466
Homo sapiens	X	NT_079573	LOC727959	-	2401113	2399848
Homo sapiens	X	NT_079573	GAPDHP1	-	2498581	2498153
Homo sapiens	X	NT_079573	BCOR	-	2813821	2762384
Homo sapiens	X	NT_079573	LOC728068	-	2872872	2867157
Homo sapiens	X	NT_079573	LOC402394	-	3071749	3069466
Homo sapiens	X	NT_079573	ATP6AP2	+	3291983	3317656
Homo sapiens	X	NT_079573	LOC347411	+	3333858	3334995
Homo sapiens	X	NT_079573	CXorf38	-	3358544	3340807
Homo sapiens	X	NT_079573	CRSP2	-	3446550	3359325
Homo sapiens	X	NT_079573	LOC728142	+	3446468	3447067
Homo sapiens	X	NT_079573	DPRXP6	+	3469450	3470108
Homo sapiens	X	NT_079573	MKRN4	+	3545163	3548831
Homo sapiens	X	NT_079573	LOC392447	+	3608237	3619411
Homo sapiens	X	NT_079573	LOC286444	-	3646922	3645959
Homo sapiens	X	NT_079573	LOC442447	+	3788019	3788777
Homo sapiens	X	NT_079573	USP9X	+	3796655	3947599
Homo sapiens	X	NT_079573	LOC728177	-	3798997	3796837
Homo sapiens	X	NT_079573	LOC643043	-	4034355	4033945
Homo sapiens	X	NT_079573	DDX3X	+	4044418	4061294
Homo sapiens	X	NT_079573	LOC728964	+	4045630	4047758
Homo sapiens	X	NT_079573	NYX	+	4158454	4186730
Homo sapiens	X	NT_079573	CASK	-	4634035	4231110
Homo sapiens	X	NT_079573	LOC158781	-	4387526	4384872
Homo sapiens	X	NT_079573	GPR34	+	4400018	4408293
Homo sapiens	X	NT_079573	GPR82	+	4435175	4439216
Homo sapiens	X	NT_079573	LOC728201	+	4634446	4634859
Homo sapiens	X	NT_079573	LOC654480	-	4810251	4809625
Homo sapiens	X	NT_079573	PPP1R2P9	-	5489253	5488384
Homo sapiens	X	NT_079573	LOC139334	-	5990677	5988378
Homo sapiens	X	NT_079573	NANOGP10	-	6119857	6118042
Homo sapiens	X	NT_079573	MAOA	+	6367176	6457835
Homo sapiens	X	NT_079573	MAOB	-	6593448	6477624
Homo sapiens	X	NT_079573	NDP	-	6684517	6659789
Homo sapiens	X	NT_079573	LOC643167	+	6740346	6742799
Homo sapiens	X	NT_079573	EFHC2	-	7054685	6859678
Homo sapiens	X	NT_079573	RRM2P3	+	7020327	7021489
Homo sapiens	X	NT_079573	LOC402397	-	7189271	7187040
Homo sapiens	X	NT_079573	FUNDC1	-	7253983	7234670
Homo sapiens	X	NT_079573	CTF8P	+	7344343	7347079
Homo sapiens	X	NT_079573	LOC392451	+	7356802	7360732
Homo sapiens	X	NT_079573	LOC644464	+	7452021	7453050
Homo sapiens	X	NT_079573	DUSP21	+	7555017	7555901
Homo sapiens	X	NT_079573	UTX	+	7576704	7823614
Homo sapiens	X	NT_079573	LOC729052	-	7864997	7862664
Homo sapiens	X	NT_079573	CXorf36	-	7911913	7873334
Homo sapiens	X	NT_079573	LOC139061	-	8093007	8092539
Homo sapiens	X	NT_079573	LOC347333	-	8423730	8343191
Homo sapiens	X	NT_079573	LOC392452	+	8442091	8442950
Homo sapiens	X	NT_079573	LOC139060	+	8694513	8695675
Homo sapiens	X	NT_079573	LOC392454	-	8770730	8769948
Homo sapiens	X	NT_079573	PCNAP	+	8890452	8891434
Homo sapiens	X	NT_079573	LOC643309	-	9000330	8999213
Homo sapiens	X	NT_079573	LOC392456	-	9131275	9129645
Homo sapiens	X	NT_079573	LOC389849	-	9151916	9150764
Homo sapiens	X	NT_079573	ZNF673	+	9158526	9185841
Homo sapiens	X	NT_079573	ZNF674	-	9256643	9210313
Homo sapiens	X	NT_079573	LOC442448	-	9273766	9272855
Homo sapiens	X	NT_079573	CHST7	+	9284959	9309605
Homo sapiens	X	NT_079573	SLC9A7	-	9470239	9318140
Homo sapiens	X	NT_079573	RP2	+	9548143	9593560
Homo sapiens	X	NT_079573	CXorf31	-	9610906	9598619
Homo sapiens	X	NT_079573	PHF16	+	9623635	9772407
Homo sapiens	X	NT_079573	RGN	+	9789542	9804479
Homo sapiens	X	NT_079573	RNU12	+	9843480	9844023
Homo sapiens	X	NT_079573	NDUFB11	-	9856204	9853386
Homo sapiens	X	NT_079573	RBM10	+	9856398	9897979
Homo sapiens	X	NT_079573	UBE1	+	9902027	9926294
Homo sapiens	X	NT_079573	LOC728367	-	9905188	9904910
Homo sapiens	X	NT_079573	INE1	+	9916087	9917027
Homo sapiens	X	NT_079573	PCTK1	+	9929399	9941163
Homo sapiens	X	NT_079573	USP11	+	9944081	9959494
Homo sapiens	X	NT_079573	NICN2P	-	9985628	9983307
Homo sapiens	X	NT_079573	ZNF157	+	10081749	10125161
Homo sapiens	X	NT_079573	ZNF41	-	10194112	10158170
Homo sapiens	X	NT_079573	LOC729148	-	10224826	10220950
Homo sapiens	X	NT_079573	ARAF	+	10272274	10283066
Homo sapiens	X	NT_079573	SYN1	-	10331023	10283067
Homo sapiens	X	NT_079573	TIMP1	+	10293457	10297957
Homo sapiens	X	NT_079573	CFP	-	10341471	10335392
Homo sapiens	X	NT_079573	ELK1	-	10361787	10346687
Homo sapiens	X	NT_079573	UXT	-	10370327	10362962
Homo sapiens	X	NT_079573	LOC643474	-	10430265	10429132
Homo sapiens	X	NT_079573	LOC392459	+	10431408	10437104
Homo sapiens	X	NT_079573	LOC644739	+	10509092	10518521
Homo sapiens	X	NT_079573	LOC441493	-	10547959	10545574
Homo sapiens	X	NT_079573	ZNF81	+	10548068	10633373
Homo sapiens	X	NT_079573	LOC643507	-	10552868	10552129
Homo sapiens	X	NT_079573	ZNF182	-	10715144	10686017
Homo sapiens	X	NT_079573	LOC389852	+	10715501	10720893
Homo sapiens	X	NT_079573	ZNF630	-	10782562	10769370
Homo sapiens	X	NT_079573	SSX6	+	10818855	10831836
Homo sapiens	X	NT_079573	psiSSX2	+	10829785	10831944
Homo sapiens	X	NT_079573	LOC729201	+	10838370	10843762
Homo sapiens	X	NT_079573	LOC643554	-	10865197	10865063
Homo sapiens	X	NT_079573	psiSSX3	+	10867315	10877754
Homo sapiens	X	NT_079573	SSX5	-	10907966	10897423
Homo sapiens	X	NT_079573	LOC648415	+	10923978	10928161
Homo sapiens	X	NT_079573	SSX1	+	10966564	10978646
Homo sapiens	X	NT_079573	psiSSX8	+	10987794	10990553
Homo sapiens	X	NT_079573	SSX9	-	11017442	11006652
Homo sapiens	X	NT_079573	psiSSX9	+	11033394	11039573
Homo sapiens	X	NT_079573	SSX3	-	11067909	11057630
Homo sapiens	X	NT_079573	SSX4	+	11094735	11104552
Homo sapiens	X	NT_079573	SSX4B	-	11123111	11113295
Homo sapiens	X	NT_079573	psiSSX6	+	11143346	11143419
Homo sapiens	X	NT_079573	psiSSX7	+	11151664	11153122
Homo sapiens	X	NT_079573	SLC38A5	-	11180332	11168694
Homo sapiens	X	NT_079573	FTSJ1	+	11186316	11196519
Homo sapiens	X	NT_079573	PORCN	+	11219138	11230969
Homo sapiens	X	NT_079573	EBP	+	11232024	11238871
Homo sapiens	X	NT_079573	OATL1	+	11249897	11271389
Homo sapiens	X	NT_079573	LOC729275	-	11285042	11283249
Homo sapiens	X	NT_079573	RBM3	+	11284603	11288571
Homo sapiens	X	NT_079573	MRPL32P1	-	11293511	11293248
Homo sapiens	X	NT_079573	WDR13	+	11307668	11315341
Homo sapiens	X	NT_079573	WAS	+	11393976	11401582
Homo sapiens	X	NT_079573	SUV39H1	+	11406898	11419170
Homo sapiens	X	NT_079573	LOC392465	+	11475808	11483618
Homo sapiens	X	NT_079573	LOC648603	-	11486864	11486175
Homo sapiens	X	NT_079573	GATA1	+	11496729	11504485
Homo sapiens	X	NT_079573	HDAC6	+	11512254	11535147
Homo sapiens	X	NT_079573	LOC728542	+	11536624	11537873
Homo sapiens	X	NT_079573	ERAS	+	11539050	11540315
Homo sapiens	X	NT_079573	PCSK1N	-	11545727	11541273
Homo sapiens	X	NT_079573	LOC728548	+	11599697	11600887
Homo sapiens	X	NT_079573	TIMM17B	-	11607193	11602499
